Price;Age;KM;HP;MetColor;Automatic;Doors;Weight
21758.0;118;134858;145;0;0;3;969
21416.0;190;147172;177;1;1;5;2134
15000.0;84;177366;57;0;1;2;1081
21017.0;162;161891;188;0;0;4;871
32247.0;105;13292;176;0;1;4;1759
13759.0;161;80997;70;0;0;4;2173
19400.0;122;133178;133;0;0;4;1566
20695.0;71;176516;158;0;0;4;2374
28328.0;32;95286;173;1;0;4;2787
19577.0;14;78330;62;1;0;5;2087
24368.0;72;156201;157;0;1;4;1170
18014.0;185;173716;168;0;0;4;1719
23692.0;153;178801;194;1;0;4;1597
22993.0;80;177880;177;0;0;4;2131
21367.0;42;92496;110;0;1;4;2520
24149.0;19;100219;143;0;0;4;2123
21811.0;41;138245;123;0;0;4;1226
26640.0;183;79890;172;0;0;2;1039
24278.0;12;142946;170;1;0;3;2837
18431.0;167;94208;148;0;0;4;2272
26691.0;112;66761;157;0;1;4;2207
29001.0;94;89416;194;0;0;4;1880
20038.0;130;138829;137;1;0;4;1967
13109.0;119;148192;58;0;0;3;1136
37276.0;45;28842;190;1;1;2;1000
15900.0;126;126532;84;1;0;5;1161
19627.0;25;188534;133;0;1;3;2484
11252.0;68;179936;66;0;0;3;2525
24889.0;4;78364;66;1;1;4;991
19562.0;36;107172;71;1;0;4;2251
14866.0;190;157179;115;0;0;4;1209
23247.0;198;141002;178;0;0;4;928
20902.0;44;185828;158;0;0;4;2971
32194.0;33;62308;184;1;0;5;1186
20446.0;12;106990;83;1;1;4;2022
24741.0;105;90371;140;0;1;3;1581
12260.0;139;156237;128;1;0;4;2612
19939.0;183;136172;191;0;0;4;1684
29121.0;166;58942;194;1;0;4;1456
24880.0;126;79573;172;0;0;2;2014
20599.0;157;142109;136;0;0;4;827
16831.0;112;59779;70;0;0;4;1702
37850.0;3;30247;186;1;1;4;1354
30151.0;28;57817;161;0;0;4;1199
15727.0;152;29813;83;1;0;4;2780
27220.0;54;53371;113;1;1;4;1318
30083.0;52;52354;133;1;0;4;1405
18518.0;175;101648;166;0;0;5;2703
18581.0;149;61062;120;0;0;4;2745
20073.0;182;27957;131;0;1;4;2412
17026.0;30;43870;66;0;0;4;2912
14589.0;68;165921;80;0;0;2;1758
27682.0;36;128886;158;0;0;4;850
19973.0;40;73727;66;0;0;4;977
22056.0;138;47661;145;0;0;4;2236
31044.0;74;45831;184;0;0;4;1818
30256.0;42;133385;199;0;0;4;1874
11633.0;152;44308;56;0;0;4;2824
11775.0;132;139490;71;0;0;4;1294
21615.0;47;79314;88;1;0;4;1974
17597.0;179;36739;88;1;1;3;1582
20486.0;109;59198;95;0;0;2;1119
25759.0;4;110550;127;1;1;4;2303
21697.0;32;177862;161;1;0;4;2677
27054.0;10;129488;138;0;0;2;1364
17959.0;139;135861;123;0;0;5;1191
22342.0;28;90125;119;1;1;4;2992
11346.0;174;119223;86;1;0;2;2562
17952.0;168;157746;134;0;0;4;1051
27748.0;62;76818;138;0;0;5;1679
22653.0;86;6337;70;0;1;4;1582
14397.0;98;172387;106;0;0;2;1807
35137.0;45;18657;195;0;1;3;1543
14729.0;35;141317;65;1;1;4;2863
23457.0;163;32342;160;0;0;4;1454
25337.0;89;8922;135;0;0;3;2730
29771.0;34;6221;125;0;0;4;1558
17928.0;134;51778;76;1;0;2;1396
23908.0;37;137996;135;1;1;4;1929
20742.0;1;192409;119;0;0;4;1364
32580.0;35;13901;184;1;0;2;2301
9715.0;198;177479;105;0;0;4;1635
23312.0;127;54502;151;0;0;5;2636
16505.0;182;156171;162;0;0;4;2042
23890.0;81;99533;137;0;0;4;1019
11832.0;191;42028;70;0;0;4;2594
21693.0;137;127426;198;0;0;4;2914
13383.0;190;112697;83;0;1;2;1549
16416.0;130;139583;126;0;0;2;2876
14756.0;113;81440;82;0;0;4;2703
21891.0;36;170778;112;1;1;5;1892
14054.0;121;181590;113;0;1;4;1860
10651.0;92;161401;68;0;1;4;2673
18117.0;169;121661;133;0;1;4;1848
20688.0;117;34419;75;0;0;4;1090
21474.0;37;132022;126;1;0;3;2834
12404.0;177;135544;99;1;1;4;2793
28288.0;26;48647;146;0;0;4;2116
25719.0;68;36649;99;1;0;5;1062
16999.0;104;111833;70;0;1;4;1306
20663.0;36;190501;142;0;1;4;2450
20871.0;115;98708;132;1;0;3;1804
30753.0;31;66046;150;0;0;5;978
31875.0;30;47798;165;0;0;4;1584
24962.0;34;196350;187;1;0;4;1259
17766.0;147;33960;83;0;0;4;960
16872.0;18;176810;104;0;0;4;2694
28420.0;85;32260;142;0;0;4;1273
25265.0;3;99617;112;0;0;4;1350
15833.0;70;163894;96;1;0;5;2419
20742.0;102;15738;72;1;0;4;1132
10017.0;141;127731;75;0;0;5;2738
20864.0;45;168380;119;0;0;2;1888
23634.0;118;127857;189;0;0;4;1974
27562.0;67;17910;134;0;0;3;1482
21819.0;112;43464;129;1;0;2;2852
20958.0;92;8404;89;0;0;4;2980
25073.0;86;66302;172;0;0;3;2226
25434.0;168;15825;182;0;0;4;2862
19949.0;40;173082;99;1;0;4;810
19922.0;151;122508;154;0;0;4;1106
17659.0;159;55951;96;1;0;5;1789
23147.0;146;171531;158;1;1;4;803
12306.0;199;112568;103;0;0;4;2418
29531.0;19;163796;182;0;1;4;1870
30026.0;93;76973;193;0;1;4;1370
28839.0;44;17404;123;0;0;4;1443
20121.0;84;47477;72;1;0;4;1464
11006.0;178;44021;58;0;0;4;2519
32478.0;42;15194;156;1;1;4;2499
24104.0;94;80955;149;1;0;5;2083
8275.0;175;179641;84;1;0;4;2334
22280.0;150;114639;157;1;1;4;1383
19489.0;90;180537;178;0;0;2;2957
20178.0;74;108709;115;0;0;4;2015
26172.0;29;124299;190;0;0;4;2960
18290.0;106;144338;128;0;0;4;2201
14239.0;187;102876;76;0;0;4;805
21793.0;129;114889;149;0;0;4;1236
32448.0;64;43775;198;0;1;4;2763
21613.0;17;74140;72;0;0;4;1702
18287.0;107;73816;65;0;1;4;1189
24694.0;165;141234;186;1;0;4;1032
15895.0;95;174458;128;1;0;4;2410
20187.0;25;119716;84;1;1;4;1447
27898.0;117;39202;187;0;1;4;2621
22502.0;192;41020;145;0;0;4;1138
19099.0;196;142520;155;0;0;4;847
33757.0;52;52042;189;1;0;4;1097
16690.0;137;31214;87;0;0;4;2365
24087.0;185;30353;136;1;1;4;1920
24054.0;92;143498;174;0;0;4;1620
31550.0;94;16636;173;1;0;4;1337
16702.0;124;134900;92;1;0;3;1459
29815.0;88;5612;174;0;0;2;2069
15844.0;161;96204;82;0;0;2;1403
20328.0;148;62961;106;0;1;4;1266
26139.0;73;47506;133;0;1;4;1761
22680.0;88;91028;141;0;0;4;1697
25385.0;14;190960;150;1;0;4;1405
11482.0;59;179305;63;0;0;5;2573
22889.0;82;32045;111;1;0;2;2818
14367.0;121;156719;84;1;0;4;1034
21811.0;117;145192;182;1;0;4;2366
21717.0;184;63746;181;0;0;4;2729
30168.0;65;79650;166;1;0;4;1191
27985.0;165;70635;199;0;1;4;966
20397.0;26;192609;114;0;1;4;892
12988.0;33;191132;62;1;0;2;2421
19623.0;171;181862;195;0;1;4;2245
28109.0;15;6608;87;0;0;4;1581
20923.0;29;190618;130;0;0;4;909
25008.0;21;35105;95;0;1;5;2504
15551.0;69;78255;55;0;0;2;2273
35013.0;23;16498;164;0;0;3;858
17642.0;123;119972;147;0;0;4;2951
25049.0;84;35360;116;0;0;4;1676
21316.0;136;147994;158;0;0;4;1897
22591.0;62;117812;123;0;0;4;1073
29099.0;142;53851;174;0;0;5;1105
34936.0;6;64693;187;0;1;4;1913
29960.0;1;114366;160;0;0;4;1049
17986.0;137;86920;91;0;0;2;915
20540.0;182;64530;135;1;0;4;1514
20221.0;140;199438;172;0;0;4;1665
17039.0;5;183019;90;1;0;4;2304
20875.0;168;179521;183;0;1;5;1638
17679.0;93;131918;104;0;0;4;1790
11778.0;174;57115;64;0;0;4;2310
24306.0;27;63530;105;1;1;4;1457
19632.0;75;7098;67;0;0;2;2092
27181.0;53;117882;179;1;0;5;2196
23922.0;178;42734;154;0;0;2;1735
21280.0;52;148990;157;0;0;5;2704
